"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5650","RT @assliken: And here is what all the ""green new deal"" type of garbage gets you

making deals with the devil so you can pretend to be righ…",FALSE,0,NA,2022-02-24 18:21:02,FALSE,NA,"1496913074523197440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealziner",170,TRUE,FALSE,NA,NA
"5651","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:20:50,FALSE,NA,"1496913021842735110",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akazo",1964,TRUE,FALSE,NA,NA
"5652","RT @MichaelDeLauzon: Every time you buy gasoline you are paying for Biden’s Green New Deal and Climate (money laundering) Change.",FALSE,0,NA,2022-02-24 18:20:40,FALSE,NA,"1496912980805566470",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ImDrCornpop",21,TRUE,FALSE,NA,NA
"5653","RT @BirkbeckUnion: 2 March - 🌳BBK Green New Deal, Petition hand in🌎

https://t.co/AcbGlr1Nc7

#divestBBK #helloBBK #GreenNewDeal
#climatech…",FALSE,0,NA,2022-02-24 18:20:20,FALSE,NA,"1496912898144284679",NA,"<a href=""https://www.libellulafilm.de"" rel=""nofollow"">Green New Deal RT</a>","GreenNewDeal_EU",4,TRUE,FALSE,NA,NA
"5654","By banning new oil and gas leasing on federal land at the behest of Green New Deal enthusiasts, President Biden att… https://t.co/YE5Jr52sE9",FALSE,0,NA,2022-02-24 18:19:53,TRUE,NA,"1496912783845298178",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1flylikeanEagle",0,FALSE,FALSE,NA,NA
"5655","RT @WaysandMeansGOP: By banning new oil and gas leasing on federal land at the behest of Green New Deal enthusiasts, President Biden attack…",FALSE,0,NA,2022-02-24 18:19:23,FALSE,NA,"1496912657047240708",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1flylikeanEagle",78,TRUE,FALSE,NA,NA
"5656","@Timcast Here we go! Everyone’s economy was in the tank. The military industrial complex was loosing money! Instead… https://t.co/MqUSKMzZaq",FALSE,0,"Timcast",2022-02-24 18:19:19,TRUE,"1496704463754698759","1496912642405015556","27000730","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Truth179115",0,FALSE,FALSE,NA,NA
"5657","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:19:18,FALSE,NA,"1496912638302834707",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dutta981",1964,TRUE,FALSE,NA,NA
"5658","RT @RebeccaCPayton2: @Wantfrieswitht1 @TBONEAREA512001 You’re right. He just wants to make sure he’s doing everything in his power to kill…",FALSE,0,NA,2022-02-24 18:19:14,FALSE,NA,"1496912619067817984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TBONEAREA512001",1,TRUE,FALSE,NA,NA
"5659","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:18:24,FALSE,NA,"1496912408589352965",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClaraGu05568105",94,TRUE,FALSE,NA,NA
"5660","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:17:54,FALSE,NA,"1496912283468926976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarringtonClay",1964,TRUE,FALSE,NA,NA
"5661","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:17:01,FALSE,NA,"1496912062144000002",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jackcade1982",1964,TRUE,FALSE,NA,NA
"5662","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:16:56,FALSE,NA,"1496912039725477901",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jannetteshmoo1",94,TRUE,FALSE,NA,NA
"5663","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:16:28,FALSE,NA,"1496911922779754497",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","GuyThompson_Esq",1964,TRUE,FALSE,NA,NA
"5664","RT @assliken: And here is what all the ""green new deal"" type of garbage gets you

making deals with the devil so you can pretend to be righ…",FALSE,0,NA,2022-02-24 18:16:05,FALSE,NA,"1496911827543986181",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pbizzlemyshizzl",170,TRUE,FALSE,NA,NA
"5665","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:15:47,FALSE,NA,"1496911750666473473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","McneJames",94,TRUE,FALSE,NA,NA
"5666","RT @assliken: And here is what all the ""green new deal"" type of garbage gets you

making deals with the devil so you can pretend to be righ…",FALSE,0,NA,2022-02-24 18:15:45,FALSE,NA,"1496911743146020865",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FarrettGorester",170,TRUE,FALSE,NA,NA
